"Page","URL_full","og.title","Pageviews","Unique.Pageviews","Avg..Time.on.Page","Entrances","Bounce.Rate","X..Exit","Page.Value","Meta","pub_time"
"61","/content/all-things/life-times-st-aloysius-gonzaga","http://americamagazine.org/content/all-things/life-times-st-aloysius-gonzaga",NA,"1,308","1,185","0:09:40","1,176","86.46%","88.53%","$0.00","The Life of Times of St. Aloysius Gonzaga","2011-06-20T20:40:03-04:00"
"62","/issue/holy-see-deplores-absurd-violence-after-orlando-rampage","http://americamagazine.org/issue/holy-see-deplores-absurd-violence-after-orlando-rampage",NA,"1,304","1,217","0:03:36","757","83.97%","74.23%","$0.00","Holy See, U.S. religious leaders urge prayers and peace following Orlando rampage","2016-06-12T16:43:10-04:00"
"63","/issue/means-ends-and-embryos","http://americamagazine.org/issue/means-ends-and-embryos",NA,"1,271","1,178","0:04:28","653","73.89%","60.58%","$0.00","Is it time to move the line for embryo research? Here’s what’s missing from the debate.","2016-06-17T17:16:54-04:00"
"64","/culture","http://americamagazine.org/culture",NA,"1,268","1,139","0:03:54","666","80.03%","56.78%","$0.00","Culture",NA
"65","/issue/right-roam","http://americamagazine.org/issue/right-roam",NA,"1,241","1,188","0:03:15","1,020","92.07%","84.93%","$0.00","Walking is good for the heart. Too often we see it as a sinister activity","2016-05-25T16:27:16-04:00"
"66","/content/dispatches/pope-francis-prays-national-memorial-victims-armenian-genocide","http://americamagazine.org/content/dispatches/pope-francis-prays-national-memorial-victims-armenian-genocide",NA,"1,217","1,138","0:03:38","1,055","84.83%","85.13%","$0.00","Pope Francis Prays at National Memorial to Victims of the Armenian Genocide","2016-06-25T07:35:36-04:00"
"67","/content/all-things/sins-world","http://americamagazine.org/content/all-things/sins-world",NA,"1,189","1,133","0:04:38","912","87.19%","79.14%","$0.00","In 'The Innocents,' violence and motherhood transform a Polish convent","2016-06-27T13:29:27-04:00"
"68","/content/all-things/standing-gun-violence-again","http://americamagazine.org/content/all-things/standing-gun-violence-again",NA,"1,161","995","0:04:23","564","62.28%","57.19%","$0.00","Another massacre recalls us to our mission to reduce gun violence","2016-06-14T14:20:07-04:00"
"69","/content/all-things/shall-we-fast-ramadan","http://americamagazine.org/content/all-things/shall-we-fast-ramadan",NA,"1,140","1,007","0:05:28","733","73.95%","72.19%","$0.00","Should Christians fast this Ramadan?","2016-06-17T17:07:14-04:00"
"70","/content/all-things/how-fix-our-trump-problem","http://americamagazine.org/content/all-things/how-fix-our-trump-problem",NA,"1,135","1,049","0:04:50","517","69.92%","64.58%","$0.00","How to fix our Trump problem","2016-06-28T09:28:53-04:00"
"71","/content/dispatches/hitting-reset-sacramento-bishop-jaime-soto-reflects-california-church-and-country","http://americamagazine.org/content/dispatches/hitting-reset-sacramento-bishop-jaime-soto-reflects-california-church-and-country",NA,"1,130","1,049","0:06:47","765","83.92%","76.46%","$0.00","Sacramento bishop reflects on a tumultuous year in California, the church and the country","2016-06-07T16:38:35-04:00"
"72","/content/dispatches/trump-clinton-my-jesuit-illuminati-overlords-and-iowa-caucus","http://americamagazine.org/content/dispatches/trump-clinton-my-jesuit-illuminati-overlords-and-iowa-caucus",NA,"1,112","1,031","0:14:09","1,030","78.49%","91.55%","$0.00","I didn't think this election could get crazier. Then I Googled each candidate and 'Jesuit.'","2016-02-01T02:38:18-05:00"
"73","/content/all-things/solidarity-our-lgbt-brothers-and-sisters",NA,NA,"1,111","1,034","0:04:53","995","79.22%","83.62%","$0.00","0","0"
"74","/issue/feminism-has-not-lost-its-soul","http://americamagazine.org/issue/feminism-has-not-lost-its-soul",NA,"1,107","996","0:04:42","639","65.79%","66.49%","$0.00","Feminism hasn't lost its soul","2016-06-22T09:43:41-04:00"
"75","/toc-past/2016-06-06","http://americamagazine.org/toc-past/2016-06-06",NA,"1,082","678","0:00:27","137","35.77%","12.20%","$0.00",NA,NA
"76","/issue/dolorosa","http://americamagazine.org/issue/dolorosa",NA,"1,055","966","0:02:46","657","79.67%","67.39%","$0.00","The Editors: Sustaining hope after Orlando","2016-06-17T10:51:22-04:00"
"77","/issue/steering-ship-state","http://americamagazine.org/issue/steering-ship-state",NA,"1,039","922","0:06:31","455","62.83%","62.37%","$0.00","15 Ways President Obama has changed the direction of America","2016-05-20T16:13:13-04:00"
"78","/user/login?destination=","http://americamagazine.org/user/login?destination=",NA,"979","603","0:00:46","68","86.76%","24.21%","$0.00","User account",NA
"79","/content/the-word/new-cross","http://americamagazine.org/content/the-word/new-cross",NA,"977","854","0:01:49","224","86.16%","43.71%","$0.00",NA,"2016-06-09T11:04:28-04:00"
"80","/content/dispatches/its-bitter-conclusion-hate-and-fear-propel-brexit-referendum","http://americamagazine.org/content/dispatches/its-bitter-conclusion-hate-and-fear-propel-brexit-referendum",NA,"973","874","0:03:28","265","70.63%","53.85%","$0.00","To the campaign's bitter end, hate and fear typify 'Brexit' referendum","2016-06-22T14:07:13-04:00"
