Page,URL,og:title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/content/all-things/standing-gun-violence-again,http://americamagazine.org/content/all-things/standing-gun-violence-again,,"1,161",995,0:04:23,564,62.28%,57.19%,$0.00
/content/all-things/shall-we-fast-ramadan,http://americamagazine.org/content/all-things/shall-we-fast-ramadan,,"1,140","1,007",0:05:28,733,73.95%,72.19%,$0.00
/content/all-things/how-fix-our-trump-problem,http://americamagazine.org/content/all-things/how-fix-our-trump-problem,,"1,135","1,049",0:04:50,517,69.92%,64.58%,$0.00
/content/dispatches/hitting-reset-sacramento-bishop-jaime-soto-reflects-california-church-and-country,http://americamagazine.org/content/dispatches/hitting-reset-sacramento-bishop-jaime-soto-reflects-california-church-and-country,,"1,130","1,049",0:06:47,765,83.92%,76.46%,$0.00
/content/dispatches/trump-clinton-my-jesuit-illuminati-overlords-and-iowa-caucus,http://americamagazine.org/content/dispatches/trump-clinton-my-jesuit-illuminati-overlords-and-iowa-caucus,,"1,112","1,031",0:14:09,"1,030",78.49%,91.55%,$0.00
/content/all-things/solidarity-our-lgbt-brothers-and-sisters,http://americamagazine.org/content/all-things/solidarity-our-lgbt-brothers-and-sisters,,"1,111","1,034",0:04:53,995,79.22%,83.62%,$0.00
/issue/feminism-has-not-lost-its-soul,http://americamagazine.org/issue/feminism-has-not-lost-its-soul,,"1,107",996,0:04:42,639,65.79%,66.49%,$0.00
/toc-past/2016-06-06,http://americamagazine.org/toc-past/2016-06-06,,"1,082",678,0:00:27,137,35.77%,12.20%,$0.00
/issue/dolorosa,http://americamagazine.org/issue/dolorosa,,"1,055",966,0:02:46,657,79.67%,67.39%,$0.00
/issue/steering-ship-state,http://americamagazine.org/issue/steering-ship-state,,"1,039",922,0:06:31,455,62.83%,62.37%,$0.00
/user/login?destination=,http://americamagazine.org/user/login?destination=,,979,603,0:00:46,68,86.76%,24.21%,$0.00
/content/the-word/new-cross,http://americamagazine.org/content/the-word/new-cross,,977,854,0:01:49,224,86.16%,43.71%,$0.00
/content/dispatches/its-bitter-conclusion-hate-and-fear-propel-brexit-referendum,http://americamagazine.org/content/dispatches/its-bitter-conclusion-hate-and-fear-propel-brexit-referendum,,973,874,0:03:28,265,70.63%,53.85%,$0.00
/contact,http://americamagazine.org/contact,,945,780,0:02:25,284,57.69%,55.03%,$0.00
/content/dispatches/pope-tells-priests-nothing-unites-us-god-more-act-mercy,http://americamagazine.org/content/dispatches/pope-tells-priests-nothing-unites-us-god-more-act-mercy,,939,877,0:05:18,542,82.82%,74.33%,$0.00
/issue/repeal-second-amendment,http://americamagazine.org/issue/repeal-second-amendment,,938,876,0:08:58,867,89.68%,91.47%,$0.00
/content/good-word/sight-vs-insight,http://americamagazine.org/content/good-word/sight-vs-insight,,914,860,0:03:03,418,83.29%,63.35%,$0.00
/content/all-things/story-ugandan-martyrs,http://americamagazine.org/content/all-things/story-ugandan-martyrs,,888,805,0:09:51,798,87.12%,89.19%,$0.00
/top-ten-takeaways-laudato-si,http://americamagazine.org/top-ten-takeaways-laudato-si,,886,787,0:05:36,732,84.17%,83.97%,$0.00
/user,http://americamagazine.org/user,,885,479,0:01:26,115,33.91%,21.36%,$0.00
/content/the-word/mercys-healing,http://americamagazine.org/content/the-word/mercys-healing,,877,822,0:04:12,516,89.38%,77.42%,$0.00
/content/dispatches/after-brexit-ireland-faces-partition-once-again,http://americamagazine.org/content/dispatches/after-brexit-ireland-faces-partition-once-again,,874,827,0:03:35,494,80.36%,66.25%,$0.00
/issue/5138/article/why-they-left,http://americamagazine.org/issue/5138/article/why-they-left,,872,817,0:08:58,797,88.50%,91.63%,$0.00
/content/all-things/sell-everything-you-have,http://americamagazine.org/content/all-things/sell-everything-you-have,,859,786,0:02:54,539,70.32%,60.30%,$0.00
/content/all-things/evolution-catholic-masculinity-15-questions-dr-aqualus-gordon,http://americamagazine.org/content/all-things/evolution-catholic-masculinity-15-questions-dr-aqualus-gordon,,840,757,0:07:29,498,61.35%,73.33%,$0.00
/issue/studying-women-deacons,http://americamagazine.org/issue/studying-women-deacons,,840,742,0:03:15,102,55.24%,46.31%,$0.00
/issue/priest-his-people,http://americamagazine.org/issue/priest-his-people,,831,761,0:05:16,593,83.72%,74.13%,$0.00
/issue/take-high-road-vermont-bishop-tells-catholic-communicators,http://americamagazine.org/issue/take-high-road-vermont-bishop-tells-catholic-communicators,,818,786,0:04:02,717,87.31%,87.78%,$0.00
/issue/libertarians-step,http://americamagazine.org/issue/libertarians-step,,814,736,0:02:16,308,57.10%,48.89%,$0.00
/content/all-things/osama-bin-ladens-ghost-lurks,http://americamagazine.org/content/all-things/osama-bin-ladens-ghost-lurks,,806,767,0:10:10,753,77.62%,93.30%,$0.00
/content/unconventional-wisdom/clinton-makes-history-can-she-bring-change,http://americamagazine.org/content/unconventional-wisdom/clinton-makes-history-can-she-bring-change,,804,706,0:03:30,253,65.49%,55.22%,$0.00
/aboutus,http://americamagazine.org/aboutus,,803,647,0:01:43,259,57.09%,37.11%,$0.00
/content/dispatches/kenya-crisis-refocuses-attention-refugee-plight,http://americamagazine.org/content/dispatches/kenya-crisis-refocuses-attention-refugee-plight,,793,711,0:05:11,613,83.58%,78.81%,$0.00
/issue/there-grows-neighborhood,http://americamagazine.org/issue/there-grows-neighborhood,,788,746,0:03:16,634,87.56%,82.36%,$0.00
/issue/my-life-unstuffed,http://americamagazine.org/issue/my-life-unstuffed,,783,701,0:04:17,515,81.98%,72.03%,$0.00
/issue/pope-elevates-memorial-st-mary-magdalene-feast-day,http://americamagazine.org/issue/pope-elevates-memorial-st-mary-magdalene-feast-day,,765,701,0:03:15,349,82.91%,61.31%,$0.00
/issue/ordinary-holy-families,http://americamagazine.org/issue/ordinary-holy-families,,758,708,0:04:05,364,75.62%,62.80%,$0.00
/toc-past/2016-06-20,http://americamagazine.org/toc-past/2016-06-20,,754,451,0:00:25,52,52.83%,11.41%,$0.00
/content/dispatches/pope-francis-and-top-sunni-leader-meet-vatican,http://americamagazine.org/content/dispatches/pope-francis-and-top-sunni-leader-meet-vatican,,748,687,0:05:54,660,88.05%,88.24%,$0.00
/issue/college-free-all,http://americamagazine.org/issue/college-free-all,,745,643,0:05:33,630,85.74%,84.30%,$0.00
/content/dispatches/pope-francis-visits-armenia-worlds-first-christian-nation,http://americamagazine.org/content/dispatches/pope-francis-visits-armenia-worlds-first-christian-nation,,742,694,0:05:46,547,88.67%,83.15%,$0.00
/content/good-word/its-heart-trips-you,http://americamagazine.org/content/good-word/its-heart-trips-you,,737,679,0:03:03,387,80.21%,65.26%,$0.00
/403.html?page=/content/all-things/solidarity-our-lgbt-brothers-and-sisters&from=http://m.facebook.com,http://americamagazine.org/403.html?page=/content/all-things/solidarity-our-lgbt-brothers-and-sisters&from=http://m.facebook.com,,733,553,0:01:13,541,73.75%,72.58%,$0.00
/issue/closing-and-opening,http://americamagazine.org/issue/closing-and-opening,,731,676,0:02:36,135,78.83%,43.23%,$0.00
/issue/article/francis-family-and-feminism,http://americamagazine.org/issue/article/francis-family-and-feminism,,721,688,0:04:03,650,92.64%,90.43%,$0.00
/issue/throne-and-altar-time,http://americamagazine.org/issue/throne-and-altar-time,,721,670,0:03:04,200,84.08%,47.85%,$0.00
/issue/culture/pontiff-pedestal,http://americamagazine.org/issue/culture/pontiff-pedestal,,715,644,0:04:01,356,66.76%,53.57%,$0.00
/issue/many-things-133,http://americamagazine.org/issue/many-things-133,,714,656,0:02:33,344,71.30%,52.94%,$0.00
/users/james-martin-sj,http://americamagazine.org/users/james-martin-sj,,697,590,0:02:16,368,45.53%,52.80%,$0.00
/issue/culture/search-catholic-novel,http://americamagazine.org/issue/culture/search-catholic-novel,,691,598,0:05:35,397,69.67%,61.07%,$0.00
/content/unconventional-wisdom/how-red-and-blue-map-evolved-over-past-century,http://americamagazine.org/content/unconventional-wisdom/how-red-and-blue-map-evolved-over-past-century,,685,624,0:07:41,496,63.62%,75.91%,$0.00
/issue/joy-science,http://americamagazine.org/issue/joy-science,,683,588,0:04:44,330,70.87%,59.44%,$0.00
/content/dispatches/pope-francis-todays-world-wars-are-fed-not-persons,http://americamagazine.org/content/dispatches/pope-francis-todays-world-wars-are-fed-not-persons,,678,625,0:03:41,368,74.80%,62.54%,$0.00
/issue/big-dig,http://americamagazine.org/issue/big-dig,,678,641,0:10:28,634,91.97%,93.36%,$0.00
/issue/pope-how-be-salt-earth-and-light-world,http://americamagazine.org/issue/pope-how-be-salt-earth-and-light-world,,665,598,0:03:15,427,82.94%,71.43%,$0.00
/jobs-classifieds,http://americamagazine.org/jobs-classifieds,,654,433,0:00:24,72,76.39%,28.75%,$0.00
/content/dispatches/pope-francis-meets-mother-only-argentinian-death-row-united-states,http://americamagazine.org/content/dispatches/pope-francis-meets-mother-only-argentinian-death-row-united-states,,645,610,0:03:51,376,86.17%,72.40%,$0.00
/issue/when-smaller-better,http://americamagazine.org/issue/when-smaller-better,,626,552,0:03:43,252,73.62%,57.67%,$0.00
/content/unconventional-wisdom/voting-end-democracy,http://americamagazine.org/content/unconventional-wisdom/voting-end-democracy,,623,583,0:07:32,404,60.77%,75.60%,$0.00
/content/all-things/day-yankee-stadium-cried,http://americamagazine.org/content/all-things/day-yankee-stadium-cried,,605,560,0:05:17,339,81.18%,69.92%,$0.00
/content/dispatches/pope-francis-seek-healing-and-justice-victims-human-trafficking,http://americamagazine.org/content/dispatches/pope-francis-seek-healing-and-justice-victims-human-trafficking,,599,513,0:02:44,405,83.46%,71.12%,$0.00
/goodword,http://americamagazine.org/goodword,,597,490,0:00:45,110,64.55%,27.81%,$0.00
/contact/submissions,http://americamagazine.org/contact/submissions,,594,509,0:04:06,254,49.23%,65.15%,$0.00
/issue/culture/road-christ,http://americamagazine.org/issue/culture/road-christ,,594,522,0:03:36,286,69.12%,54.55%,$0.00
/content/all-things/meeting-vladimir-lenin-new-moscow,http://americamagazine.org/content/all-things/meeting-vladimir-lenin-new-moscow,,589,553,0:04:14,371,85.22%,67.74%,$0.00
/content/dispatches/digging-deep-mercy-we-all-need,http://americamagazine.org/content/dispatches/digging-deep-mercy-we-all-need,,587,550,0:05:14,503,91.45%,86.54%,$0.00
/issue/bouquets-my-father,http://americamagazine.org/issue/bouquets-my-father,,576,524,0:03:32,235,79.75%,54.34%,$0.00
/content/unconventional-wisdom/when-ted-kennedy-went-all-way-convention,http://americamagazine.org/content/unconventional-wisdom/when-ted-kennedy-went-all-way-convention,,574,527,0:03:40,262,72.62%,59.76%,$0.00
/content/dispatches/africa-jesuits-africa-and-madagascar,http://americamagazine.org/content/dispatches/africa-jesuits-africa-and-madagascar,,573,520,0:05:08,456,78.73%,79.58%,$0.00
/issue/faster-higher-stronger,http://americamagazine.org/issue/faster-higher-stronger,,570,548,0:07:26,541,91.88%,94.74%,$0.00
/sections/editorials-0,http://americamagazine.org/sections/editorials-0,,566,491,0:00:48,84,56.63%,27.21%,$0.00
/media/podcasts/boys-bunkhouse,http://americamagazine.org/media/podcasts/boys-bunkhouse,,561,508,0:03:00,381,82.68%,70.05%,$0.00
/podcast,http://americamagazine.org/podcast,,558,423,0:01:06,224,59.56%,39.43%,$0.00
/issue/276/article/religion-and-politics-india,http://americamagazine.org/issue/276/article/religion-and-politics-india,,554,506,0:07:27,506,91.30%,91.34%,$0.00
/content/good-word/christian-fatherhood,http://americamagazine.org/content/good-word/christian-fatherhood,,553,506,0:02:17,269,82.90%,61.12%,$0.00
/sections/books,http://americamagazine.org/sections/books,,547,429,0:01:01,90,60.00%,33.27%,$0.00
/content/all-things/faith-and-science-georges-lemaitre-11-questions-dr-karl-van-bibber,http://americamagazine.org/content/all-things/faith-and-science-georges-lemaitre-11-questions-dr-karl-van-bibber,,543,485,0:05:44,323,77.91%,68.88%,$0.00
/content/dispatches/fascinating-new-take-jesuit-missionaries-china,http://americamagazine.org/content/dispatches/fascinating-new-take-jesuit-missionaries-china,,543,488,0:04:22,282,79.08%,65.56%,$0.00
/joy-love,http://americamagazine.org/joy-love,,537,479,0:02:42,302,75.25%,60.71%,$0.00
/user/register,http://americamagazine.org/user/register,,529,365,0:01:11,75,84.00%,27.41%,$0.00
/issue/344/article/dealing-terrorism,http://americamagazine.org/issue/344/article/dealing-terrorism,,527,479,0:08:35,479,89.56%,90.70%,$0.00
/submit,http://americamagazine.org/submit,,524,399,0:01:52,366,53.01%,46.76%,$0.00
/content/all-things/my-journey-atheist-catholic-11-questions-leah-libresco,http://americamagazine.org/content/all-things/my-journey-atheist-catholic-11-questions-leah-libresco,,517,490,0:27:04,488,65.24%,93.04%,$0.00
/403.html?page=/content/all-things/solidarity-our-lgbt-brothers-and-sisters&from=https://www.facebook.com/,http://americamagazine.org/403.html?page=/content/all-things/solidarity-our-lgbt-brothers-and-sisters&from=https://www.facebook.com/,,514,364,0:01:40,339,60.77%,56.42%,$0.00
/toc-past/2016-05-23,http://americamagazine.org/toc-past/2016-05-23,,511,315,0:00:23,12,25.00%,4.70%,$0.00
/news/catholic-news-briefs,http://americamagazine.org/news/catholic-news-briefs,,510,419,0:00:39,25,44.00%,22.35%,$0.00
/issue/jesuss-wife-papyrus-likely-fake,http://americamagazine.org/issue/jesuss-wife-papyrus-likely-fake,,509,479,0:04:13,396,85.86%,80.94%,$0.00
/issue/pope-names-apostolic-administrator-guam-archdiocese,http://americamagazine.org/issue/pope-names-apostolic-administrator-guam-archdiocese,,506,482,0:02:21,405,85.96%,82.02%,$0.00
